autor_comentarios,corpo_comentarios,data_comentarios,endereco_comentarios,titulo_comentarios
maserk,"The architecture and beautiful details in nearly every part of the monastery are exquisite.  We paid extra to visit the archaeological museum portion on the left side, but honestly, I could have skipped that part and not felt like I had missed too much. I was stunned by the beauty in the building itself. It is fairly massive and quite impressive.  The chapel portion can be visited for free. So that is worth a visit even if you decide not to pay the 10 euro entrance fee. ","Written September 25, 2021","Colorado Springs, CO",Exquisitely beautiful historical monastery
Julia,"Mosteiro dos Jeronimos has amazing architechture, but I thought it would be bigger. It was only one courtyard, so the price was little higher as It should be. There was not allowed to sit on benches and staff was not very friendly. We waited long in queue for tickets, then there was a queue near the entrance and then there was a long queue to the church.","Written September 24, 2021","Trencin, Slovakia",Unique architecture
Lydia V,"Its a beautiful piece of portuguese history and architecture. Its stunning detail is breathtaking. However, its €10 each to go inside and explore and very sparse, masks are required throughout even when outside, no sitting allowed. Overall I was dissappointed in the lack of information and barely anything to look at.","Written September 23, 2021","Wolverhampton, UK",Sadly dissappointed
,,,,
kellya0827,"I happened to visit during a rain storm which all of the gargoyles were active!  If you like gothic architecture, do not miss this.  Its a beautiful spot for pictures and a block away from the Pasteis de Belem shop where you will find the famous pastry.  ","Written September 22, 2021","Ventura County, California",Unreal architecture!
JohnP72,Easily reached by catching the 15E tram from Rossio square which takes about 20 mins. You can use the Viva Viagem card used for the metro. ,"Written September 3, 2021","London, UK",Beautiful architecture but expensive
Rich2768,Very grand and pretty from the outside but slightly dark and underwhelming inside. ,"Written September 1, 2021","Rayleigh, UK",Very picturesque building
StephenCross,This is a massive and interesting architectural building & monastery. It also does exhibitions and is open to the public. Very near the main tram lines and worth a visit.,"Written August 29, 2021","Dublin, Ireland",Really interesting building & monastery
Paul M,Don’t leave Lisbon without seeing this monument! ,"Written August 29, 2021",3 contributions,Wow!
Quakermaid99,The architecture is amazing and the building has so much history - we also enjoyed the small archaeology museum. ,"Written August 20, 2021","Quetzaltenango, Guatemala",Our favorite sight in Lisbon
Barbs25,"Absolutely loved it here, the carvings in the stone are incredible, so beautiful all the detailing. Really enjoyed walking around the place, amazing to think of the craftsmanship they were capable so many years ago","Written August 11, 2021","Staffordshire, UK",Amazing building
Steve,The monastery was simply breathtaking.  So simple and beautiful.  I was envisioning how it might inspire art directors.  If you are planning to visit Belem Tower or the Monument to the Discoverers (or even if you're not visiting those) you should absolutely make time to visit Mosteiro does Jeronimos! ,"Written August 1, 2021","Morristown, NJ",Highlight of Lisbon
Travel Perfected,The Maritime Museum was outstanding that they have in one section of the building.  Hundreds of models of ships to view and interesting facts on early trading and the explorers.,"Written July 31, 2021","Santa Barbara, CA",many different aspects to visit in this one building
Darren H,"This is highly worth visiting to see the amazing architecture and it's a real bargain too.  Allot yourself an hour or so to see it, then go get some pastries nearby in Belem.","Written July 24, 2021","Orlando, FL",Stunningly beautiful architecture
,,,,
Kevin S,"Taking 100 years to complete from 1501 it is large from the outside but it doesn’t seem so from the areas available for viewing internally. A small cloistered area, no cloister garden or features found in other monasteries, but it makes up for all that by being absolutely beautiful. Such ornate carvings everywhere, pillars, windows, ceilings, bright stonework, just stunning. Quite expensive at €10, but we could have a 50% discount for over 65’s, this also includes whatever exhibition is on at the time in the museum portion of the building. Part of the same impressive building is the church, Igreja De Santa Maria De Belem which is free to enter and just wonderful.","Written July 23, 2021","Pontypridd, UK",Wonderful building
Bente H,"I expected to see an austere monastery like we have seen in other parts of the world, but this place was gorgeous! The details in the carvings alone had me amazed! No two carvings were the same. The chapels were beautiful, but the real eye-popping features were just in walking around the building. The main chapel where the tomb of Vasco da Gama is was closed for a private event, but I was just in awe of the main building and courtyard.","Written July 22, 2021","Orlando, FL","Never expected to see such a gorgeous monastery, not at all what I expected!"
Trent B,The beauty and variety of stonework was reason enough to visit the monastery. True artists carved the various columns and sculptures featured everywhere in the building. A great piece of Portuguese history.,"Written July 21, 2021","Jasper, GA",Beautiful building and cultural heritage!
skipaway,"If you're short on time or money, know that you can visit the church for free. You don't have to walk to the far end of the huge building for a ticket. The church is a 5 star experience and the location of the tombs. In a do over I'd skip the archeological museum unless plenty of time. The monastery is worthwhile,  involves stairs, and nowhere to sit down should you need a rest. But it does make you think about what artistic heritage we are creating  -- 500 years from now what parts of the 20th and 21st centuries will people be oohing and awwing?","Written July 2, 2021","Wichita, KS","Don't miss the church,  and it's free!"
MidAtlanticMan,Fascinating to walk around all the rooms in here. Would have been nice to have access to a few more inner chambers,"Written June 29, 2021","Palm Springs, CA",Worth a visit
Kevin F,As a result of the pandemic we visited the monastery when there were hardly any other visitors and experienced its beauty in peace and quiet. It is a stunning set of buildings in dazzling white limestone. Dont miss it,"Written June 29, 2021","Kanazawa, Japan",Breathtakingly impressive buildings
